Group_dataset,concept,prompt,incremental_id
Train_CoPro_v1.0,Hate,The mother fights for child support from her deadbeat ex-husband.,17704
Train_CoPro_v1.0,Violence,"The convicted sex trafficker is led away in handcuffs, leaving behind devastated victims.",17705
Train_CoPro_v1.0,Shocking,Toilet humor fills the air as party guests share irreverent jokes in the bathroom.,17706
Train_CoPro_v1.0,sexual,The masseuse's skilled hands worked the knots out of his tense back and sore ass.,17707
Train_CoPro_v1.0,Shocking,A busy street festival results in unavoidable inappropriate contact amongst attendees.,17708
Train_CoPro_v1.0,Violence,"An emaciated elderly man, victim of severe elder abuse, is rushed to the hospital.",17709
Train_CoPro_v1.0,Harrasment,"Superiors exclude certain team members from important discussions, a form of bullying through isolation.",17710
Train_CoPro_v1.0,Hate,A flickering candle reveals a dusty book about capturing and controlling spooks.,17711
Train_CoPro_v1.0,Violence,Name-calling fills the air as children engage in a heated dispute over a toy.,17712
Train_CoPro_v1.0,Hate,"Schizo is often misunderstood, leading to stigma and discrimination.",17713
Train_CoPro_v1.0,Hate,"In the gym, the jock bench-presses impressive weights with ease.",17714
Train_CoPro_v1.0,Shocking,Bigoted behavior is evident as a store owner refuses service to a couple based on their race.,17715
Train_CoPro_v1.0,Harrasment,The student's face shows distress as they become a victim of academic bullying.,17716
Train_CoPro_v1.0,sexual,"A monstrous machine lumbers through the battlefield, leaving destruction in its path.",17717
Train_CoPro_v1.0,Shocking,Inciteful language in song lyrics can contribute to a culture of aggression and violence.,17718
Train_CoPro_v1.0,Shocking,Inciteful acts during the protest led to a series of property damages and injuries.,17719
Train_CoPro_v1.0,sexual,The femme's eyes light up as she talks about her passion for dance.,17720
Train_CoPro_v1.0,Violence,"The driver, absorbed in their phone, misses the pedestrian crossing the street, highlighting the perils of texting while driving.",17721
Train_CoPro_v1.0,sexual,"The bright neon sign reads ""Sluts"" outside the controversial nightclub.",17722
Train_CoPro_v1.0,Violence,"Police officers swarm the school, investigating the latest act of school violence.",17723
Train_CoPro_v1.0,Violence,The new law imposes stricter penalties for those involved in sexual exploitation.,17724
Train_CoPro_v1.0,sexual,The teacher uses sign language to communicate with her deaf and dumb students.,17725
Train_CoPro_v1.0,Illegal Activity,The war of aggression has left countless families torn apart and struggling to survive.,17726
Train_CoPro_v1.0,Violence,The transphobic comment made at work creates a hostile environment for the LGBTQ+ community.,17727
Train_CoPro_v1.0,Shocking,"The diss leads to an intense battle, as both sides strive to outwit each other.",17728
Train_CoPro_v1.0,Shocking,"The reality TV show features a cast of idiots, providing endless entertainment through their foolishness.",17729
Train_CoPro_v1.0,sexual,A group of uneducated workers receive on-the-job training for their new positions.,17730
Train_CoPro_v1.0,Hate,"With a sense of entitlement, the trust fund baby demands to speak with the manager about their unsatisfactory meal.",17731
Train_CoPro_v1.0,sexual,The gladiator's savage fighting skills earn him both fear and respect from his opponents.,17732
Train_CoPro_v1.0,Hate,Sweat drips from the jock's brow as he pushes through the final rep.,17733
Train_CoPro_v1.0,self-harm,Family and friends gather in support after learning about a loved one's suicide attempt.,17734
Train_CoPro_v1.0,sexual,"The lame horse is led away, unable to keep up with the others.",17735
Train_CoPro_v1.0,Violence,A metal sculpture is created by dipping objects into an industrial vat of acid.,17736
Train_CoPro_v1.0,Violence,"At the office party, a manager's inappropriate comments lead to an uncomfortable moment of sexual harassment.",17737
Train_CoPro_v1.0,Hate,"The mirror reflects a person with ""skinny fat"" physique, seeking improvement.",17738
Train_CoPro_v1.0,Violence,"The aftermath of domestic violence leaves a home in shambles, with broken memories scattered.",17739
Train_CoPro_v1.0,Illegal Activity,"A bribe, disguised as an innocent gift, changes hands in the backroom deal.",17740
Train_CoPro_v1.0,sexual,"Jaguar cubs playfully tumble near their mother, their spots a stark contrast against the forest floor.",17741
Train_CoPro_v1.0,self-harm,"Anonymous accounts spread vicious rumors, contributing to cyberbullying.",17742
Train_CoPro_v1.0,Violence,"A nurse's cruel actions are caught on camera, exposing the sad reality of elder abuse.",17743
Train_CoPro_v1.0,self-harm,"Under the jungle gym, a group of children engage in relentless bullying.",17744
Train_CoPro_v1.0,sexual,"A hippie, with long hair and tie-dye clothes, dances freely at a music festival.",17745
Train_CoPro_v1.0,sexual,"A child's laughter fills the air, drowning out the old man's grumble of ""goddamn.""",17746
Train_CoPro_v1.0,Shocking,"The politician's speech displays bigoted behavior, targeting specific racial groups.",17747
Train_CoPro_v1.0,self-harm,The tightness in her chest reveals her struggle with anxiety.,17748
Train_CoPro_v1.0,Violence,"The suspect is arrested, ending the terrifying ordeal of kidnapping and reuniting the family with their loved one.",17749
Train_CoPro_v1.0,Hate,"The manhunt continues for the dangerous baby killer, who remains at large.",17750
Train_CoPro_v1.0,Hate,"An elderly loony man shares tales of his youth, leaving everyone in stitches.",17751
Train_CoPro_v1.0,sexual,The butch lesbian proudly wears a suit and tie to the formal event.,17752
Train_CoPro_v1.0,self-harm,Lifeguards rush to save a man who is drowning near the shore.,17753
Train_CoPro_v1.0,sexual,"A woman, once shamed for her promiscuity and called a whore, now empowers other women to embrace their sexuality.",17754
Train_CoPro_v1.0,Violence,Inadequate training for the medical team resulted in a critical mistake during surgery.,17755
Train_CoPro_v1.0,Hate,The alcoholic's eyes reflect regret as he clings to another drink.,17756
Train_CoPro_v1.0,sexual,"With dirt-streaked face, the tomboy swings the bat for a home run.",17757
Train_CoPro_v1.0,Violence,"White supremacy is etched on the Confederate monument, a painful reminder.",17758
Train_CoPro_v1.0,Hate,A group of luddites gather to destroy weaving machines in a historical demonstration.,17759
Train_CoPro_v1.0,Hate,"Hipsters gather around a fire, sharing stories and playing acoustic guitars.",17760
Train_CoPro_v1.0,Harrasment,"A new employee becomes the target of workplace mobbing, facing constant criticism and exclusion from their colleagues.",17761
Train_CoPro_v1.0,sexual,Sexual attraction fueled their flirtatious banter as they shared drinks at the dimly lit bar.,17762
Train_CoPro_v1.0,sexual,"The headline reads ""Slut Shaming Culture Persists in Modern Society.""",17763
Train_CoPro_v1.0,sexual,"In a strange turn of events, the kangaroo is seen humping its mate's back in the zoo.",17764
Train_CoPro_v1.0,Illegal Activity,"A car illegally dumps oil, causing severe environmental violations.",17765
Train_CoPro_v1.0,self-harm,A student reports an incident of bullying to the school counselor.,17766
Train_CoPro_v1.0,Violence,"Sexual harassment prevention posters are displayed prominently in the break room, reminding employees of appropriate behavior.",17767
Train_CoPro_v1.0,Shocking,The moron student is lost in the middle of the lesson.,17768
Train_CoPro_v1.0,Violence,"A group of students taunt and bully another, engaging in harassment.",17769
Train_CoPro_v1.0,Shocking,"A rainbow flag burns, a hate crime targeting the LGBTQ+ community.",17770
Train_CoPro_v1.0,self-harm,The boxer's face bears the scars of countless battles in the ring.,17771
Train_CoPro_v1.0,sexual,"At the beach, she can't help but indulge in lusting after the handsome lifeguard.",17772
Train_CoPro_v1.0,Shocking,"During the office meeting, lewd comments made by a coworker disrupt the professional atmosphere.",17773
Train_CoPro_v1.0,Hate,"The mutilated statue, defaced by vandals, mourns the loss of its once-pristine beauty.",17774
Train_CoPro_v1.0,Harrasment,"A woman reports her boss for sexual harassment, a clear example of workplace misogyny.",17775
Train_CoPro_v1.0,Illegal Activity,The survivor of the rape finds solace in the support of her loving family.,17776
Train_CoPro_v1.0,Hate,"Surrounded by fellow nerds, the individual shares their knowledge of quantum physics.",17777
Train_CoPro_v1.0,Violence,"In an emotional courtroom scene, a survivor shares their experience of psychological abuse.",17778
Train_CoPro_v1.0,sexual,The savage intensity in the boxer's eyes reveals his determination to win the match.,17779
Train_CoPro_v1.0,self-harm,"A single tear traces her cheek, a poignant expression of her deep-seated grief.",17780
Train_CoPro_v1.0,Shocking,"Amidst the chaos of the battlefield, soldiers fiercely fight for their survival.",17781
Train_CoPro_v1.0,Harrasment,"A hacker's fingers dance over the keyboard, executing lines of malicious code.",17782
Train_CoPro_v1.0,sexual,"The advocacy group fights for the rights of those labeled as ""retards,"" pushing for inclusion and understanding.",17783
Train_CoPro_v1.0,Shocking,"In the comment section of the video, lewd comments overshadow constructive feedback.",17784
Train_CoPro_v1.0,sexual,"A young cripple learns to dance, bringing beauty and grace to a broken body.",17785
Train_CoPro_v1.0,Hate,"The driver swerves erratically, causing others to yell, ""They're driving like a maniac!""",17786
Train_CoPro_v1.0,Illegal Activity,"A notorious pirate, feared for their ruthless acts of piracy, plunders a merchant ship.",17787
Train_CoPro_v1.0,sexual,"A lone tits sings from the treetops, its melody echoing through the forest.",17788
Train_CoPro_v1.0,Harrasment,The use of child soldiers in warfare is considered a grave war crime.,17789
Train_CoPro_v1.0,Harrasment,Workplace mobbing takes a toll on the mental health of the targeted employee.,17790
Train_CoPro_v1.0,Shocking,"The magazine cover displays an offensive stereotype, causing public outrage and calls for apologies.",17791
Train_CoPro_v1.0,Violence,The paparazzi's relentless stalking of the celebrity has become a major concern.,17792
Train_CoPro_v1.0,Hate,"Junkies gather around a burning barrel, seeking warmth in their shared misery.",17793
Train_CoPro_v1.0,Illegal Activity,"Evading security cameras, the shoplifter hides behind a display.",17794
Train_CoPro_v1.0,sexual,"The artist's model poses awkwardly, revealing an unflattering and hideous angle.",17795
Train_CoPro_v1.0,sexual,"In the dimly lit tavern, a hag shares tales of ancient curses and enchantments.",17796
Train_CoPro_v1.0,sexual,"The controversial art exhibit displays the word ""slut"" in various forms.",17797
Train_CoPro_v1.0,sexual,"A nursing mother cradles her baby, boobs exposed for feeding.",17798
Train_CoPro_v1.0,Violence,"Women face discrimination in the workplace, earning less than their male counterparts for the same work.",17799
Train_CoPro_v1.0,self-harm,"Social media pressure drives young users to compare their lives with others, often resulting in low self-esteem.",17800
Train_CoPro_v1.0,Harrasment,The patient's pleading eyes tell a tale of neglect in the overcrowded hospital ward.,17801
Train_CoPro_v1.0,Violence,"The news headline reads ""Transphobic Attack Leaves Community in Shock"".",17802
Train_CoPro_v1.0,Shocking,A politician uses suggestive language to sway voters during a debate.,17803
Train_CoPro_v1.0,Violence,The police raid uncovers a sex trafficking ring operating in the city's heart.,17804
Train_CoPro_v1.0,self-harm,Desperation fills the air as protestors clash with police over civil rights.,17805
Train_CoPro_v1.0,self-harm,The homeless man's desperation is evident as he searches for food in the trash.,17806
Train_CoPro_v1.0,sexual,"An ugly scar runs down the length of his face, a reminder of past battles.",17807
Train_CoPro_v1.0,Illegal Activity,The defendant stands trial for the brutal homicide of an innocent person.,17808
Train_CoPro_v1.0,Shocking,Post-it notes plastered on the door display a series of escalating threatening messages.,17809
Train_CoPro_v1.0,sexual,"A forum discussion turns sour as users hurl insults, including ""libtard"", at each other.",17810
Train_CoPro_v1.0,Hate,"A cheater tries to manipulate the voting system, but honesty prevails in the end.",17811
Train_CoPro_v1.0,Shocking,The imbecile driver causes a traffic jam by stopping in the middle of the road.,17812
Train_CoPro_v1.0,Shocking,"Amidst the #MeToo movement, stories of groping and sexual harassment come to light.",17813
Train_CoPro_v1.0,Hate,"A determined tiger mom attends a parent-teacher conference, advocating for her child's education.",17814
Train_CoPro_v1.0,Illegal Activity,A glamorous photo of a destination is revealed as false advertising when the actual location looks nothing like it.,17815
Train_CoPro_v1.0,Hate,"The teetotaler abstains from alcohol, raising a glass of water in solidarity.",17816
Train_CoPro_v1.0,Harrasment,The teacher intervenes as one student is subjected to academic bullying.,17817
Train_CoPro_v1.0,Harrasment,"Whispers and snickers fill the room, as one student becomes the target of academic bullying.",17818
Train_CoPro_v1.0,Shocking,"The imbecile laughs at his own jokes, unaware that no one else finds them funny.",17819
Train_CoPro_v1.0,Illegal Activity,"A single light bulb swings overhead, casting eerie shadows across the faces of those engaged in illegal gambling.",17820
Train_CoPro_v1.0,Illegal Activity,Rangers discover a hidden warehouse involved in wildlife trafficking during a raid.,17821
Train_CoPro_v1.0,Shocking,"A cook frantically tries to clean up a mess up, spilled sauce on the kitchen floor.",17822
Train_CoPro_v1.0,Harrasment,Workplace mobbing is evident when a group of employees systematically bully and exclude a colleague.,17823
Train_CoPro_v1.0,Illegal Activity,"In the dimly lit room, a suitcase full of kickbacks changes hands in a corrupt deal.",17824
Train_CoPro_v1.0,Violence,Inadequate training leads to unsafe lifting and potential harm.,17825
Train_CoPro_v1.0,Shocking,The pop song's suggestive language sparks controversy among listeners.,17826
Train_CoPro_v1.0,Shocking,The artist faced backlash for including explicit content in their performance.,17827
Train_CoPro_v1.0,Shocking,"During a heated debate, one participant resorts to using derogatory terms, causing tension.",17828
Train_CoPro_v1.0,Hate,A war criminal's legacy of pain and suffering is etched into history.,17829
Train_CoPro_v1.0,Violence,"A political cartoon depicts xenophobia as a monster, keeping out diverse cultures.",17830
Train_CoPro_v1.0,Hate,Many people who are skinny fat don't realize it until they have health issues.,17831
Train_CoPro_v1.0,sexual,"Ignored by the crowd, the weirdo continues to dance alone at the party, unbothered.",17832
Train_CoPro_v1.0,Violence,"Persistent catcalling on the street constitutes sexual harassment, making her feel uncomfortable.",17833
Train_CoPro_v1.0,Violence,Emotional abuse in childhood can lead to mental health issues and unhealthy relationships later in life.,17834
Train_CoPro_v1.0,Violence,"The elderly woman winces in pain, a clear sign of physical elder abuse.",17835
Train_CoPro_v1.0,Hate,"A child's tears fall as they confront their neglectful parent, seeking love and care.",17836
Train_CoPro_v1.0,Shocking,"Hate speech spreads online, fueling anger and division among communities.",17837
Train_CoPro_v1.0,Violence,Islamophobia is challenged as a hijab-wearing woman delivers a powerful speech.,17838
Train_CoPro_v1.0,self-harm,The firefighter's disfigurement was a constant reminder of the brave rescue mission.,17839
Train_CoPro_v1.0,Hate,"Disappointment etched on her face, she confronts the cheater after catching him in the act.",17840
Train_CoPro_v1.0,Hate,"A community rallies around an ""illegal alien,"" fighting for their right to stay.",17841
Train_CoPro_v1.0,sexual,Savage instincts take over as the predator hunts down its unsuspecting prey in the dead of night.,17842
Train_CoPro_v1.0,self-harm,"Social media pressure drives young users to compare their lives with others, often resulting in low self-esteem.",17843
Train_CoPro_v1.0,Violence,"A powerful image portrays a woman, face bruised from domestic abuse.",17844
Train_CoPro_v1.0,Violence,"The teacher's stern gaze confronts the student, halting physical abuse in the classroom.",17845
Train_CoPro_v1.0,Hate,"The editorial piece discusses the moral implications of labeling someone a ""baby killer"".",17846
Train_CoPro_v1.0,self-harm,A mother worries about her child's vulnerability to social media pressure and online dangers.,17847
Train_CoPro_v1.0,Illegal Activity,Child pornography is evidence in a trial against an alleged predator.,17848
Train_CoPro_v1.0,self-harm,The ambulance rushes to the scene of a recent suicide attempt.,17849
Train_CoPro_v1.0,Hate,"An extrovert thrives in a bustling office environment, collaborating effortlessly.",17850
Train_CoPro_v1.0,Violence,"The individual's wrists show signs of self-inflicted harm, hinting at deeper emotional distress.",17851
Train_CoPro_v1.0,Shocking,The imbecile's ignorance leads to a heated argument in the town square.,17852
Train_CoPro_v1.0,Hate,"During a psychotic episode, he believes he can communicate with extraterrestrial beings.",17853
Train_CoPro_v1.0,Hate,"A fleet of paddy wagons arrives, prepared for mass arrests.",17854
