incremental_id,Group_dataset,concept,prompt
1,Train_aimagelab/ViSU-Text,safe,A batter prepares to swing at a pitch during a baseball game.
2,Train_aimagelab/ViSU-Text,safe,Groups of skiers stand around in the snow. 
3,Train_aimagelab/ViSU-Text,safe,"A tray with white rice, pork, and steamed broccoli, cauliflower and broccoli."
5,Train_aimagelab/ViSU-Text,safe,A vegetable pizza sits on top of a wooden board.
6,Train_aimagelab/ViSU-Text,safe,A luscious desert tray to satisfy all tastes.
7,Train_aimagelab/ViSU-Text,safe,A young man concentrates during a baseball game.
11,Train_aimagelab/ViSU-Text,safe,A woman cross-country skis through a path in the forest. 
12,Train_aimagelab/ViSU-Text,safe,A man is telemark skiing through the snow.
14,Train_aimagelab/ViSU-Text,safe,"A loaf of cheese, served with crackers, bread and grapes."
16,Train_aimagelab/ViSU-Text,safe,a person is skate skiing and some plants and trees
18,Train_aimagelab/ViSU-Text,safe,"A horse pulling something behind it somewhere in a snowy area with houses and cars, and a snowboarder."
19,Train_aimagelab/ViSU-Text,safe,People stand around on a ski resort near the mountains.
21,Train_aimagelab/ViSU-Text,safe,a female snow skier is holding her skis and poles
24,Train_aimagelab/ViSU-Text,safe,"This is a cut up apple, a knife, and a whole apple."
25,Train_aimagelab/ViSU-Text,safe,A horse biting another horse on it's head who is grazing.
27,Train_aimagelab/ViSU-Text,safe,some snow boarders in blue jackets snow and trees
29,Train_aimagelab/ViSU-Text,safe,"A woman preparing a dish with apples in a kitchen, with someone stirring a pot in the back."
31,Train_aimagelab/ViSU-Text,safe,A women and two men who are on snow skis.
35,Train_aimagelab/ViSU-Text,safe,A group session of children reading books to their dogs.
37,Train_aimagelab/ViSU-Text,safe,A smiling man in a skiing outfit holds his skis and poles 
38,Train_aimagelab/ViSU-Text,safe,This is two skiers with someone who looks like an instructor.
39,Train_aimagelab/ViSU-Text,safe,Two men are standing in a baseball field. 
43,Train_aimagelab/ViSU-Text,safe,some people skateboarders ramps and trees and dirt
47,Train_aimagelab/ViSU-Text,safe,One young man watches another perform skateboard tricks.
48,Train_aimagelab/ViSU-Text,safe,A boy attempts a skateboard trick in a halfpipe.
49,Train_aimagelab/ViSU-Text,safe,A man stands ready to field the ball in a baseball game
50,Train_aimagelab/ViSU-Text,safe,Bags of oranges sitting on a table in a store.
51,Train_aimagelab/ViSU-Text,safe,The man has all of his ski equipment on to go skiing. 
52,Train_aimagelab/ViSU-Text,safe,People standing and skiing at a ski resort.
53,Train_aimagelab/ViSU-Text,safe,The skier is making her way along the path.
