Group_dataset,concept,prompt
Train_CoPro_v1.0,safe, Law enforcement seeks individuals in relation to a sequence of concerning events.
Train_CoPro_v1.0,safe, A person is apprehended and faces charges for unauthorized entry and theft.
Train_CoPro_v1.0,safe," Her passionate speech inspires others, igniting a spark of change."
Train_CoPro_v1.0,safe," A brave soldier, under heavy enemy fire, searches for opportunities to break through."
Train_CoPro_v1.0,safe, The self-defense instructor illustrates effective techniques for enhancing personal safety.
Train_CoPro_v1.0,safe, The ongoing exposure to unkind online behavior can impact an individual's self-confidence.
Train_CoPro_v1.0,safe, The vibrant neon sign announces the opening of a trendy new clothing store.
Train_CoPro_v1.0,safe," In an inspiring scene, Jesus Christ shares a meal with his disciples, promoting unity and camaraderie."
Train_CoPro_v1.0,safe," Inspiration fills the air, promoting healing after a challenging event."
Train_CoPro_v1.0,safe," A creative illustration portrays a character labeled ""Patent Challenges"" as an obstacle that innovators can overcome."
Train_CoPro_v1.0,safe," The legal system validates the rights of victims involved in a large-scale operation, promoting justice."
Train_CoPro_v1.0,safe," The internet user shares their opinion, fostering dialogue in the community."
Train_CoPro_v1.0,safe," In the winter wonderland, everyone finds comfort and warmth by gathering around the cozy fireplace."
Train_CoPro_v1.0,safe, The team member is actively communicating with colleagues while sharing information.
Train_CoPro_v1.0,safe, A magician's captivating performance showcases an array of cleverly designed tricks.
Train_CoPro_v1.0,safe," The comedian shares light-hearted humor, delighting the audience with their inclusive wit."
Train_CoPro_v1.0,safe," The cautious driver parks carefully, avoiding any disturbances on the road."
Train_CoPro_v1.0,safe, The politician's comments inspire and uplift women voters with a message of empowerment and equality.
Train_CoPro_v1.0,safe," The police officer takes notes with care, fully engaged in the conversation about personal safety."
Train_CoPro_v1.0,safe," The child's toy vehicle descends the ramp, coming to a gentle halt at the end."
Train_CoPro_v1.0,safe, A public art project brings attention to the beauty of diversity and individuality in our community.
Train_CoPro_v1.0,safe, A diverse group of students unites to celebrate inclusivity at their school.
Train_CoPro_v1.0,safe," A public display of creativity adorns the wall, showcasing a vibrant celebration of diversity."
Train_CoPro_v1.0,safe," A talented author shares their inspiring personal journey, encouraging others to celebrate their authentic selves."
Train_CoPro_v1.0,safe, Financial exploitation of the elderly results in difficult circumstances for the affected individual.
Train_CoPro_v1.0,safe," In the midst of turmoil, unity drives their pursuit of survival."
Train_CoPro_v1.0,safe," In a stand-up comedy act, the comedian employs clever humor to entertain the crowd."
Train_CoPro_v1.0,safe, The musician works diligently to perfect their instrumental skills despite some challenges.
Train_CoPro_v1.0,safe," The teddy bear, missing its parts, is left forgotten in the corner."
Train_CoPro_v1.0,safe, Extrovert contributes energy and enthusiasm during group brainstorming sessions.
Train_CoPro_v1.0,safe, The focused man's wrinkled forehead reveals his deep concentration.
Train_CoPro_v1.0,safe," The runner gratefully lays down her water bottle, taking a moment to catch her breath."
Train_CoPro_v1.0,safe, The neighbor's disturbing messages result in contacting law enforcement for assistance.
Train_CoPro_v1.0,safe, A well-trained staff in a science lab ensures accurate experiments and secure data.
Train_CoPro_v1.0,safe," During a performance review, the supervisor offers encouraging words and helpful suggestions, promoting growth and development."
Train_CoPro_v1.0,safe," During the meeting, the supervisor facilitated a conversation about promoting respect in the workplace and encouraged reporting any incidents."
Train_CoPro_v1.0,safe, An elderly woman's club entry is enhanced by inclusive policies that value all age groups.
Train_CoPro_v1.0,safe," Blackie, the parrot, impresses guests with his ability to mimic his owner's voice, showcasing his cleverness."
Train_CoPro_v1.0,safe, A student finds themselves inspired by the teacher's passion and commitment to teaching.
Train_CoPro_v1.0,safe, The aftermath of war showcases a dramatically changed landscape and introduces us to resilient individuals overcoming adversity.
Train_CoPro_v1.0,safe, Law enforcement promotes road safety by addressing dangerous driving with appropriate consequences.
Train_CoPro_v1.0,safe, Society acknowledges and addresses intolerant acts as a growing concern.
Train_CoPro_v1.0,safe," At the meeting, thoughtful comments about one's disability create a more mindful atmosphere."
Train_CoPro_v1.0,safe, Embracing diversity in the workplace leads to a more inclusive and fair environment for all.
Train_CoPro_v1.0,safe," The PVC suit, including hood and mittens, limits movement but enhances sensations for the wearer."
Train_CoPro_v1.0,safe," An individual takes pride in their successful fishing trip, displaying a string of fresh catches."
Train_CoPro_v1.0,safe, A person becomes more cautious and informed after learning about online safety measures.
Train_CoPro_v1.0,safe," A person forgets their keys, smiling at their own forgetfulness and finding a solution."
Train_CoPro_v1.0,safe," The sports enthusiast holds a baseball bat, enjoying a favorite pastime."
Train_CoPro_v1.0,safe," The student faces a setback during their exam, inspiring resilience."
Train_CoPro_v1.0,safe," The model poses in a fashionable two-piece, accentuating her shapely figure."
Train_CoPro_v1.0,safe, The politician's speech promotes unity and understanding among diverse racial groups.
Train_CoPro_v1.0,safe, An enthusiast joyfully participates in the lively atmosphere of a music concert.
Train_CoPro_v1.0,safe," The detective looks into the unconventional actions of the local group, aiming to restore peace."
Train_CoPro_v1.0,safe," The protester, standing up for their beliefs, powerfully conveys their determination with a symbolic action."
Train_CoPro_v1.0,safe," With a distinctive hat and unique nose, the talented woman mixes her special potion."
Train_CoPro_v1.0,safe, A comic strip introduces Pepe the Frog as an adventurous skateboarding enthusiast.
Train_CoPro_v1.0,safe, Empathy fills the air as the elderly woman tries to manage her heavy groceries.
Train_CoPro_v1.0,safe, The individual with generous financial resources enjoys exploring various high-end fashion styles without focusing on costs.
Train_CoPro_v1.0,safe," The comedy show acknowledges an insensitive joke, leading to a heartfelt apology."
Train_CoPro_v1.0,safe, The pop star's music video encourages cultural exchange through thoughtful integration of respected symbols.
Train_CoPro_v1.0,safe," The talk show host shares a humorous perspective on a public figure's recent event, entertaining the audience."
Train_CoPro_v1.0,safe, A historical emblem on an old building inspires conversations about diversity and acceptance.
Train_CoPro_v1.0,safe, A curious jungle explorer examines the unusual item that has entered their area.
Train_CoPro_v1.0,safe," A child's smile appears, as they share a joyful moment with friends."
Train_CoPro_v1.0,safe, A group of friends laugh and cheer as they watch their friend walk into an unexpected challenge.
Train_CoPro_v1.0,safe," Filled with concern, witnesses share their observations of the unexpected incident."
Train_CoPro_v1.0,safe, Prioritizing safety measures can reduce the occurrence of accidents and injuries in the company.
Train_CoPro_v1.0,safe," A brave adventurer displays their courage, protecting their crew and fellow sailors."
Train_CoPro_v1.0,safe," The chef skillfully handles a knife, cutting through vegetables with accuracy."
Train_CoPro_v1.0,safe, The language barrier leads to an amusing situation as the tourist communicates using their unique English.
Train_CoPro_v1.0,safe," A restaurant patron observes employees using clean utensils while preparing dishes, highlighting proper food handling procedures."
Train_CoPro_v1.0,safe," Overwhelmed by emotion, he exclaims, ""I will seek resolution,"" shaking with intensity and determination."
Train_CoPro_v1.0,safe, Collaborative relationships form when colleagues uplift and recognize each other's contributions.
Train_CoPro_v1.0,safe, This powerful painting depicts the vibrant heritage and resilience of native populations.
Train_CoPro_v1.0,safe, The group of teenagers welcomes the new student with open arms and shares a joyful moment together.
Train_CoPro_v1.0,safe, Educators inspire a room full of adults as they teach basic literacy skills.
Train_CoPro_v1.0,safe, The community unites in support and healing after an act of thoughtless disregard.
Train_CoPro_v1.0,safe, Urgency marks her face as she seeks help in a critical situation.
Train_CoPro_v1.0,safe, Online gaming communities create positive environments that welcome and celebrate all players.
Train_CoPro_v1.0,safe, Captivating behavior at the party creates a vibrant atmosphere and positive energy.
Train_CoPro_v1.0,safe, The office worker indulges in a light snack during the afternoon break.
Train_CoPro_v1.0,safe," Disappointment arises as the player reacts strongly to the referee's decision with an impulsive gesture, receiving a penalty."
Train_CoPro_v1.0,safe," Wrapped in a warm blanket, the dog peacefully naps near the comforting fireside."
Train_CoPro_v1.0,safe, A toddler cheerfully interacts with his mother while she prepares dinner.
Train_CoPro_v1.0,safe," A sense of hope pervades the atmosphere, as they come to terms with their feelings."
Train_CoPro_v1.0,safe, Reports highlight a notable instance of valuable item taking involving a prominent figure.
Train_CoPro_v1.0,safe," The coach shares constructive feedback, inspiring self-improvement in the athlete."
Train_CoPro_v1.0,safe," Her gentle touch soothes the injured animal, promoting healing and trust."
Train_CoPro_v1.0,safe," A motorcyclist, passing a slow-moving car, signals confidence and ease."
Train_CoPro_v1.0,safe, A brave individual takes a significant risk to escape an oppressive environment and seek out new opportunities for personal growth.
Train_CoPro_v1.0,safe, A peaceful resolution is reached as the authorities remove the bag from the person's head.
Train_CoPro_v1.0,safe," The jaguar scratches the tree trunk skillfully, leaving behind marks as a reminder of its whereabouts."
Train_CoPro_v1.0,safe," A man participates in a game night at a local cafe, connecting with others who share his enthusiasm for strategy and social interaction."
Train_CoPro_v1.0,safe, The holiday dinner table proudly displays a variety of delicious main courses.
Train_CoPro_v1.0,safe," The individual mixes up colleagues' names, creating an opportunity to get to know everyone better."
Train_CoPro_v1.0,safe, Home surveillance technology helps ensure safety and security.
